Thickness,Hour,Cycle,Cavity,Hour Cycle,Hour Cavity
15,1,A,1,1 A,1 1
16,1,B,1,1 B,1 1
17,1,C,1,1 C,1 1
16,1,D,1,1 D,1 1
18,1,E,1,1 E,1 1
10,1,A,2,1 A,1 2
13,1,B,2,1 B,1 2
11,1,C,2,1 C,1 2
10,1,D,2,1 D,1 2
10,1,E,2,1 E,1 2
7,1,A,3,1 A,1 3
8,1,B,3,1 B,1 3
10,1,C,3,1 C,1 3
7,1,D,3,1 D,1 3
10,1,E,3,1 E,1 3
8,1,A,4,1 A,1 4
9,1,B,4,1 B,1 4
10,1,C,4,1 C,1 4
10,1,D,4,1 D,1 4
10,1,E,4,1 E,1 4
13,2,A,1,2 A,2 1
18,2,B,1,2 B,2 1
15,2,C,1,2 C,2 1
15,2,D,1,2 D,2 1
15,2,E,1,2 E,2 1
9,2,A,2,2 A,2 2
10,2,B,2,2 B,2 2
11,2,C,2,2 C,2 2
8,2,D,2,2 D,2 2
9,2,E,2,2 E,2 2
7,2,A,3,2 A,2 3
11,2,B,3,2 B,2 3
10,2,C,3,2 C,2 3
10,2,D,3,2 D,2 3
9,2,E,3,2 E,2 3
10,2,A,4,2 A,2 4
13,2,B,4,2 B,2 4
13,2,C,4,2 C,2 4
10,2,D,4,2 D,2 4
9,2,E,4,2 E,2 4
14,3,A,1,3 A,3 1
14,3,B,1,3 B,3 1
18,3,C,1,3 C,3 1
14,3,D,1,3 D,3 1
14,3,E,1,3 E,3 1
9,3,A,2,3 A,3 2
10,3,B,2,3 B,3 2
10,3,C,2,3 C,3 2
12,3,D,2,3 D,3 2
9,3,E,2,3 E,3 2
8,3,A,3,3 A,3 3
10,3,B,3,3 B,3 3
9,3,C,3,3 C,3 3
10,3,D,3,3 D,3 3
8,3,E,3,3 E,3 3
8,3,A,4,3 A,3 4
9,3,B,4,3 B,3 4
10,3,C,4,3 C,3 4
8,3,D,4,3 D,3 4
9,3,E,4,3 E,3 4
14,4,A,1,4 A,4 1
15,4,B,1,4 B,4 1
15,4,C,1,4 C,4 1
15,4,D,1,4 D,4 1
14,4,E,1,4 E,4 1
10,4,A,2,4 A,4 2
10,4,B,2,4 B,4 2
11,4,C,2,4 C,4 2
11,4,D,2,4 D,4 2
10,4,E,2,4 E,4 2
7,4,A,3,4 A,4 3
9,4,B,3,4 B,4 3
12,4,C,3,4 C,4 3
10,4,D,3,4 D,4 3
10,4,E,3,4 E,4 3
11,4,A,4,4 A,4 4
12,4,B,4,4 B,4 4
11,4,C,4,4 C,4 4
10,4,D,4,4 D,4 4
13,4,E,4,4 E,4 4
12,5,A,1,5 A,5 1
13,5,B,1,5 B,5 1
13,5,C,1,5 C,5 1
12,5,D,1,5 D,5 1
13,5,E,1,5 E,5 1
8,5,A,2,5 A,5 2
7,5,B,2,5 B,5 2
8,5,C,2,5 C,5 2
7,5,D,2,5 D,5 2
7,5,E,2,5 E,5 2
5,5,A,3,5 A,5 3
6,5,B,3,5 B,5 3
8,5,C,3,5 C,5 3
5,5,D,3,5 D,5 3
4,5,E,3,5 E,5 3
4,5,A,4,5 A,5 4
4,5,B,4,5 B,5 4
5,5,C,4,5 C,5 4
3,5,D,4,5 D,5 4
4,5,E,4,5 E,5 4
14,6,A,1,6 A,6 1
15,6,B,1,6 B,6 1
17,6,C,1,6 C,6 1
14,6,D,1,6 D,6 1
13,6,E,1,6 E,6 1
7,6,A,2,6 A,6 2
11,6,B,2,6 B,6 2
12,6,C,2,6 C,6 2
8,6,D,2,6 D,6 2
6,6,E,2,6 E,6 2
6,6,A,3,6 A,6 3
4,6,B,3,6 B,6 3
7,6,C,3,6 C,6 3
6,6,D,3,6 D,6 3
5,6,E,3,6 E,6 3
4,6,A,4,6 A,6 4
7,6,B,4,6 B,6 4
6,6,C,4,6 C,6 4
5,6,D,4,6 D,6 4
4,6,E,4,6 E,6 4
12,7,A,1,7 A,7 1
12,7,B,1,7 B,7 1
13,7,C,1,7 C,7 1
13,7,D,1,7 D,7 1
11,7,E,1,7 E,7 1
6,7,A,2,7 A,7 2
6,7,B,2,7 B,7 2
6,7,C,2,7 C,7 2
6,7,D,2,7 D,7 2
7,7,E,2,7 E,7 2
4,7,A,3,7 A,7 3
5,7,B,3,7 B,7 3
4,7,C,3,7 C,7 3
4,7,D,3,7 D,7 3
6,7,E,3,7 E,7 3
4,7,A,4,7 A,7 4
4,7,B,4,7 B,7 4
5,7,C,4,7 C,7 4
4,7,D,4,7 D,7 4
5,7,E,4,7 E,7 4
13,8,A,1,8 A,8 1
15,8,B,1,8 B,8 1
16,8,C,1,8 C,8 1
14,8,D,1,8 D,8 1
13,8,E,1,8 E,8 1
9,8,A,2,8 A,8 2
8,8,B,2,8 B,8 2
7,8,C,2,8 C,8 2
7,8,D,2,8 D,8 2
8,8,E,2,8 E,8 2
10,8,A,3,8 A,8 3
8,8,B,3,8 B,8 3
6,8,C,3,8 C,8 3
7,8,D,3,8 D,8 3
5,8,E,3,8 E,8 3
6,8,A,4,8 A,8 4
6,8,B,4,8 B,8 4
8,8,C,4,8 C,8 4
6,8,D,4,8 D,8 4
5,8,E,4,8 E,8 4
15,9,A,1,9 A,9 1
16,9,B,1,9 B,9 1
17,9,C,1,9 C,9 1
14,9,D,1,9 D,9 1
13,9,E,1,9 E,9 1
11,9,A,2,9 A,9 2
13,9,B,2,9 B,9 2
11,9,C,2,9 C,9 2
13,9,D,2,9 D,9 2
8,9,E,2,9 E,9 2
9,9,A,3,9 A,9 3
9,9,B,3,9 B,9 3
6,9,C,3,9 C,9 3
8,9,D,3,9 D,9 3
10,9,E,3,9 E,9 3
9,9,A,4,9 A,9 4
10,9,B,4,9 B,9 4
11,9,C,4,9 C,9 4
9,9,D,4,9 D,9 4
5,9,E,4,9 E,9 4
13,10,A,1,10 A,10 1
13,10,B,1,10 B,10 1
14,10,C,1,10 C,10 1
13,10,D,1,10 D,10 1
13,10,E,1,10 E,10 1
7,10,A,2,10 A,10 2
8,10,B,2,10 B,10 2
7,10,C,2,10 C,10 2
6,10,D,2,10 D,10 2
7,10,E,2,10 E,10 2
4,10,A,3,10 A,10 3
5,10,B,3,10 B,10 3
6,10,C,3,10 C,10 3
5,10,D,3,10 D,10 3
5,10,E,3,10 E,10 3
5,10,A,4,10 A,10 4
5,10,B,4,10 B,10 4
6,10,C,4,10 C,10 4
6,10,D,4,10 D,10 4
5,10,E,4,10 E,10 4
13,11,A,1,11 A,11 1
16,11,B,1,11 B,11 1
13,11,C,1,11 C,11 1
16,11,D,1,11 D,11 1
18,11,E,1,11 E,11 1
10,11,A,2,11 A,11 2
8,11,B,2,11 B,11 2
10,11,C,2,11 C,11 2
10,11,D,2,11 D,11 2
11,11,E,2,11 E,11 2
8,11,A,3,11 A,11 3
7,11,B,3,11 B,11 3
8,11,C,3,11 C,11 3
7,11,D,3,11 D,11 3
11,11,E,3,11 E,11 3
11,11,A,4,11 A,11 4
10,11,B,4,11 B,11 4
9,11,C,4,11 C,11 4
10,11,D,4,11 D,11 4
10,11,E,4,11 E,11 4
16,12,A,1,12 A,12 1
18,12,B,1,12 B,12 1
18,12,C,1,12 C,12 1
16,12,D,1,12 D,12 1
13,12,E,1,12 E,12 1
13,12,A,2,12 A,12 2
8,12,B,2,12 B,12 2
8,12,C,2,12 C,12 2
10,12,D,2,12 D,12 2
7,12,E,2,12 E,12 2
13,12,A,3,12 A,12 3
10,12,B,3,12 B,12 3
10,12,C,3,12 C,12 3
6,12,D,3,12 D,12 3
7,12,E,3,12 E,12 3
9,12,A,4,12 A,12 4
6,12,B,4,12 B,12 4
8,12,C,4,12 C,12 4
7,12,D,4,12 D,12 4
7,12,E,4,12 E,12 4
13,13,A,1,13 A,13 1
18,13,B,1,13 B,13 1
18,13,C,1,13 C,13 1
14,13,D,1,13 D,13 1
13,13,E,1,13 E,13 1
11,13,A,2,13 A,13 2
10,13,B,2,13 B,13 2
9,13,C,2,13 C,13 2
10,13,D,2,13 D,13 2
10,13,E,2,13 E,13 2
14,13,A,3,13 A,13 3
9,13,B,3,13 B,13 3
10,13,C,3,13 C,13 3
9,13,D,3,13 D,13 3
7,13,E,3,13 E,13 3
9,13,A,4,13 A,13 4
12,13,B,4,13 B,13 4
11,13,C,4,13 C,13 4
11,13,D,4,13 D,13 4
6,13,E,4,13 E,13 4
13,14,A,1,14 A,14 1
13,14,B,1,14 B,14 1
14,14,C,1,14 C,14 1
14,14,D,1,14 D,14 1
14,14,E,1,14 E,14 1
7,14,A,2,14 A,14 2
8,14,B,2,14 B,14 2
9,14,C,2,14 C,14 2
8,14,D,2,14 D,14 2
8,14,E,2,14 E,14 2
6,14,A,3,14 A,14 3
6,14,B,3,14 B,14 3
7,14,C,3,14 C,14 3
6,14,D,3,14 D,14 3
6,14,E,3,14 E,14 3
6,14,A,4,14 A,14 4
7,14,B,4,14 B,14 4
6,14,C,4,14 C,14 4
6,14,D,4,14 D,14 4
6,14,E,4,14 E,14 4
13,15,A,1,15 A,15 1
15,15,B,1,15 B,15 1
18,15,C,1,15 C,15 1
15,15,D,1,15 D,15 1
14,15,E,1,15 E,15 1
7,15,A,2,15 A,15 2
12,15,B,2,15 B,15 2
10,15,C,2,15 C,15 2
10,15,D,2,15 D,15 2
7,15,E,2,15 E,15 2
7,15,A,3,15 A,15 3
8,15,B,3,15 B,15 3
12,15,C,3,15 C,15 3
12,15,D,3,15 D,15 3
6,15,E,3,15 E,15 3
11,15,A,4,15 A,15 4
12,15,B,4,15 B,15 4
12,15,C,4,15 C,15 4
12,15,D,4,15 D,15 4
6,15,E,4,15 E,15 4
15,16,A,1,16 A,16 1
14,16,B,1,16 B,16 1
15,16,C,1,16 C,16 1
14,16,D,1,16 D,16 1
12,16,E,1,16 E,16 1
6,16,A,2,16 A,16 2
7,16,B,2,16 B,16 2
8,16,C,2,16 C,16 2
6,16,D,2,16 D,16 2
10,16,E,2,16 E,16 2
7,16,A,3,16 A,16 3
10,16,B,3,16 B,16 3
8,16,C,3,16 C,16 3
6,16,D,3,16 D,16 3
6,16,E,3,16 E,16 3
6,16,A,4,16 A,16 4
8,16,B,4,16 B,16 4
7,16,C,4,16 C,16 4
9,16,D,4,16 D,16 4
7,16,E,4,16 E,16 4
14,17,A,1,17 A,17 1
16,17,B,1,17 B,17 1
14,17,C,1,17 C,17 1
13,17,D,1,17 D,17 1
14,17,E,1,17 E,17 1
9,17,A,2,17 A,17 2
10,17,B,2,17 B,17 2
13,17,C,2,17 C,17 2
7,17,D,2,17 D,17 2
6,17,E,2,17 E,17 2
6,17,A,3,17 A,17 3
5,17,B,3,17 B,17 3
5,17,C,3,17 C,17 3
7,17,D,3,17 D,17 3
5,17,E,3,17 E,17 3
7,17,A,4,17 A,17 4
7,17,B,4,17 B,17 4
4,17,C,4,17 C,17 4
7,17,D,4,17 D,17 4
5,17,E,4,17 E,17 4
12,18,A,1,18 A,18 1
15,18,B,1,18 B,18 1
15,18,C,1,18 C,18 1
15,18,D,1,18 D,18 1
14,18,E,1,18 E,18 1
9,18,A,2,18 A,18 2
7,18,B,2,18 B,18 2
8,18,C,2,18 C,18 2
10,18,D,2,18 D,18 2
9,18,E,2,18 E,18 2
5,18,A,3,18 A,18 3
7,18,B,3,18 B,18 3
6,18,C,3,18 C,18 3
6,18,D,3,18 D,18 3
10,18,E,3,18 E,18 3
6,18,A,4,18 A,18 4
8,18,B,4,18 B,18 4
7,18,C,4,18 C,18 4
12,18,D,4,18 D,18 4
12,18,E,4,18 E,18 4
17,19,A,1,19 A,19 1
15,19,B,1,19 B,19 1
18,19,C,1,19 C,19 1
18,19,D,1,19 D,19 1
17,19,E,1,19 E,19 1
10,19,A,2,19 A,19 2
10,19,B,2,19 B,19 2
12,19,C,2,19 C,19 2
12,19,D,2,19 D,19 2
6,19,E,2,19 E,19 2
5,19,A,3,19 A,19 3
9,19,B,3,19 B,19 3
7,19,C,3,19 C,19 3
8,19,D,3,19 D,19 3
7,19,E,3,19 E,19 3
7,19,A,4,19 A,19 4
7,19,B,4,19 B,19 4
5,19,C,4,19 C,19 4
12,19,D,4,19 D,19 4
8,19,E,4,19 E,19 4
18,20,A,1,20 A,20 1
16,20,B,1,20 B,20 1
17,20,C,1,20 C,20 1
14,20,D,1,20 D,20 1
13,20,E,1,20 E,20 1
8,20,A,2,20 A,20 2
10,20,B,2,20 B,20 2
11,20,C,2,20 C,20 2
10,20,D,2,20 D,20 2
7,20,E,2,20 E,20 2
7,20,A,3,20 A,20 3
7,20,B,3,20 B,20 3
7,20,C,3,20 C,20 3
10,20,D,3,20 D,20 3
5,20,E,3,20 E,20 3
10,20,A,4,20 A,20 4
7,20,B,4,20 B,20 4
9,20,C,4,20 C,20 4
8,20,D,4,20 D,20 4
8,20,E,4,20 E,20 4
